cutoff_date,commodity_no,commodity_name,total_amount_1d,total_qty_1d
2023-05-07,WB2200004125,【生活】新優植養生黑木耳露（黑糖）【350ml*24入/箱】,16241,43
2023-05-07,WB2200004155,【黑松ＦＩＮ】ＦＩＮ乳酸菌補給飲料(250ml*24入/箱),16057,293
2023-05-07,WB2200007405,【勝崎生鮮】澳洲安格斯黑牛藍鑽雪花牛排(１００±１０％公克),11638,777
2023-05-07,WB2200011491,【冷凍店取－金園排骨】厚切排骨(２００ｇ±５％／包),8142,56
2023-05-07,WB2200005469,【許記生煎包】許記生煎包(380g±5%&12顆&盒),2247,27
2023-05-07,WB2200005399,【快樂大廚】金門高梁紅燒牛肉爐(1000g/包),6576,51
2023-05-07,WB2200004162,【波蜜】芭樂汁(300ml*24入/箱),6190,94
2023-05-07,WB2200005483,【披薩市】經典瑪格麗特口味（奶素）(90g±4.5%),4616,264
2023-05-07,WB2200014964,【Ａｐｐｌｅ】蘋果Ｓ８ＧＰＳ４５ｍｍ手錶(（紅色鋁金屬錶殼／紅色運動型錶帶）),0,0
2023-05-07,WB2200005179,【好好吃大餛飩】鮮肉大餛飩【276g±25g/盒(共12顆)】,3584,51
2023-05-07,WB2200003009,【Ｐｉｃａｒｄ】覆盆莓派【５００ｇｘ１】,0,0
2023-05-07,WB2300064432,【冷凍店取－義美】脆皮巧克力冰淇淋１０入／盒【２５ｇ＊１０入／盒】,13851,56
2023-05-08,WB2300066576,【冷藏店取-minimore】法式檸檬蛋糕(２９５ｇ／盒),0,0
2023-05-08,WB2300067406,【廚鮮王】（宅配）拉拉山水蜜桃禮盒２盒(１０００ｇ±１０％／盒（８入／盒）＊２盒),7640,8
2023-05-07,WB2200005484,【披薩市】野菇燻雞口味（葷）(95g±4.5%),4202,664
2023-05-13,WB2300068468,【ＭＯＲＮＩＮＧＣＡＴ】（宅配）經典紅康乃馨夜燈(1個x1),1786,5
2023-05-07,WB2200005274,【海揚鮮物】滿滿系列—花枝蝦排【300g±10%(6片)/盒】,4284,85
2023-05-08,WB2200007820,【大成食品】巴黎１５青檸橄欖油海鹽蛋糕(２５０ｇ／盒),31026,122
2023-05-07,WB2200015120,【奇檬子】白金香氛洗衣膠球－英國梨小蒼蘭(２０顆，１２組),3294,13
2023-05-07,WB2200008379,【ＪＯＪＯＧＯ】黑武士三合一電蚊拍(一入),4179,37
2023-05-07,WB2200004682,【豪鮮】草原之心嫩肩牛排(100g±10%/片),1719,120
2023-05-07,WB2200017554,【ａｎｂａｏ】安寶三層網充電式電蚊拍（２入）(ＡＢ－９９８０（電量顯示型）),0,0
2023-05-07,WB2200014357,【雅詩蘭黛】特潤超導全方位修護露(７ＭＬＸ４入),0,0
2023-05-09,WB2200007798,【國芝ＴＮＦ】緻－緻然煥采精華液(３７ｍｌ＊１),9274,8
2023-05-07,WB2300060456,【資生堂】安耐曬金鑽高效防曬露Ｎ４Ｘ版(ＳＰＦ５０＋ＰＡ＋＋＋＋（６０ｍｌ）Ｘ２),10358,23
2023-05-07,WB2300063920,【牛家村牛師父】南棗核桃糕【２００ｇ】,16293,153
2023-05-07,WB2200014194,【貝納頌】黑咖啡【２１０ｍｌ＊２４入／箱】,1002,3
2023-05-07,WB2200009555,【明果】黃金榴槤冰棒(６５ｇ＊３０支／箱),25151,268
2023-05-07,WB2200012940,【Ｖｉｅｎｎｅｔｔａ】千層雪糕－香草口味(６５０ｍｌ＊１),4425,139
2023-05-07,WB2200016883,【冷凍店取－義美】貓熊雪糕５支入／盒(６０ｇ＊５支／盒),2023,72
2023-05-07,WB2300067293,【雅詩蘭黛】超能紅石榴微循環潔膚乳(１２５ｍｌｘ２（國際航空版）),0,0
2023-05-08,WB2200014208,【生活】運動飲料【４００ｍｌ＊２４】,1118,10
2023-05-07,WB2300064638,【冷凍店取－築地一番鮮】蒲燒鰻片【１５０ｇ±１０％／包（醬汁４０％）】,8807,140
2023-05-07,WB2200004147,【王老吉】涼茶植物飲料【310ml*24/箱】,38668,59
2023-05-07,WB2200005482,【披薩市】義大利海鮮口味（葷）(90g±4.5%),4111,328
2023-05-08,WB2300061339,【【即期良品】石二鍋】石二鍋經典爆香石頭鍋(６４０ｇ／盒),6518,122
2023-05-08,WB2200002330,【ＡＯＣ】７０型４ＫＨＤＲ液晶顯示器【７０Ｕ６４１８】,0,0
2023-05-07,WB2200019564,【連城記】黑糖地瓜酥【１４０ｇ／包】,4990,129
2023-05-07,WB2200015842,【蘭蔻】超極光活粹晶露１０ｍｌ(１０入),0,0
2023-05-07,WB2300066577,【冷藏店取-minimore】醇生巧克力蛋糕(２９５ｇ／盒),0,0
2023-05-07,WB2200004759,【蔥阿伯】波霸蔥肉餡餅(75g*10顆/包),5900,433
2023-05-09,WB2200006364,【杜老爺】超質杯裝冰淇淋—香草(６６ｇＸ６杯／袋),10588,149
2023-05-07,WB2200019299,【冷凍店取－青花驕】牽腸掛肚滷味拼盤【２１０ｇ】,9324,111
2023-05-07,WB2300066509,【雅詩蘭黛】特潤超導全方位修護露(１５ｍｌｘ３（原廠公司貨）),0,0
2023-05-07,WB2300068472,【輝葉】ＷＵＬＡ超有力小沙發(HY-3068A極致灰贈HYD直立式蒸氣掛燙機D-76),0,0
2023-05-07,WB2200019046,【神虎】黑虎拉麵【５２５／包】,474,5
2023-05-07,WB2200019078,【伊藤園】ＯｉＯｃｈａ濃香焙茶【６００ｍｌ／瓶】,4843,1517
2023-05-07,WB2200014207,【生活】日月潭紅茶(５９０ｍ＊２４),5118,15
2023-05-08,WB2300067957,【ＳＩＳＬＥＹ】全能乳液【125mlx1（國際航空版）】,0,0
2023-05-07,WB2200015774,【ＤＯＮＧＷＯＮ東遠】東遠韓式豬肉泡菜鍋【４６０ｇ／包】,4039,94
2023-05-07,WB2300000480,【Ｄｉｏｒ迪奧】漫舞玫瑰淡香水１００ｍｌ(ＭｉｓｓＤｉｏｒＲＯＳＥＮ’ＲＯＳＥＳ，國際航空版),20376,6
2023-05-08,WB2200013314,【雙月食品社】雙月愛恨椒芝麵【２１８公克】,0,0
2023-05-07,WB2200005487,【披薩市】重乳酪起司口味（奶素）(95g±4.5%),1222,239
2023-05-07,WB2200014359,【雅詩蘭黛】微分子肌底原生露(３０ＭＬＸ３入),6053,40
2023-05-07,WB2200019080,【伊藤園】ＯｉＯｃｈａ綠茶【２０００ｍｌ／瓶】,12713,554
2023-05-07,WB2200017167,【冷凍店取－義美】抹茶紅豆牛奶冰棒５支／盒(８７．５ｇ＊５支／盒),3737,91
2023-05-08,WB2200004100,【生活】新優植養生黑木耳露（銀杏）(350ml*24入/箱),7519,33
2023-05-07,WB2200011230,【黛絲蒂】泰式辣炒豬肉調理包【１８０ｇ／包】,5560,655
2023-05-07,WB2300066463,【鎮瀾宮】宮徽茄芷零錢包【乙入】,0,0
2023-05-07,WB2300064962,【冷凍店取－歐酷】玉米冰淇淋－芋頭口味【８５ｇ＊１０入／袋】,0,0
2023-05-07,WB2300060838,【冷凍店取－阿奇儂】阿奇儂冰雞淋８入／桶(８入／桶),8503,123
2023-05-07,WB2200014404,【ＨＭＣ】箱購海洋深層氣泡飲海鹽檸檬風味【５００ｍｌ／２４入／箱】,17255,176
2023-05-07,WB2200008437,【ＩＦ】１００％椰子水６入組(３５０ｍｌｘ６瓶),3888,78
2023-05-09,WB2300000871,【ＭＯＲＮＩＮＧＣＡＴ】（宅配）紅玫瑰花園永生花夜燈(１個ｘ１),1897,5
2023-05-07,WB2200012819,【錢都】錢都麻辣燙【５００Ｇ】,1525,51
2023-05-07,WB2200010035,【冷凍店取－瓜瓜園】冰烤地瓜１ｋｇ（包）(１ｋｇ／包),6287,101
2023-05-07,WB2200004809,【蔥阿伯】餃實在手工水餃（青蔥豬肉）(18gｘ約40顆/包),6210,418
2023-05-07,WB2200006733,【福和】福和─鳳梨釋迦冰棒【２４０ｇ】,0,0
2023-05-07,WB2300065729,【限量優惠－海王】魷魚炊粉（箱）【１３７ｇ＊１２桶／箱】,0,0
2023-05-07,WB2200006727,【陳耀訓麵包埠】厚燒乳酪奶酥【３６０ｇ／３片／盒】,7756,70
2023-05-07,WB2200003051,【Ｐｉｃａｒｄ】櫻桃番茄義大利馬鈴薯麵疙瘩【９００ｇｘ１】,966,6
2023-05-07,WB2300067953,【資生堂】百優精純乳霜【50mlx1（公司貨）】,68502,67
2023-05-09,WB2300066576,【冷藏店取-minimore】法式檸檬蛋糕(２９５ｇ／盒),0,0
2023-05-08,WB2300067860,【百慕達】黑色蒸氣烤麵包機【1個x1】,8211,2
2023-05-07,WB2200013170,【ＣｏｃｏＫｉｎｇ】１００％椰子水(３１０ｍｌ＊２４罐),65494,310
2023-05-15,WB2300064209,【台酒雕嘴滷味】辣味翅腿雙享【１１０ｇ】,17782,351
2023-05-08,WB2200003038,【Ｐｉｃａｒｄ】ＰＵＲＥ香草冰淇淋【３８０ｇｘ１】,13107,268
2023-05-08,WB2300067653,【冷凍店取—快樂大廚】紅燒牛腩【包】,5274,253
2023-05-07,WB2300067644,WB2300067644,8476,185
2023-05-07,WB2200011288,【Ｐｉｃａｒｄ】迷你巧克力脆皮甜筒（１０入）【１７５Ｇ】,139523,11672
2023-05-08,WB2200003058,【Ｐｉｃａｒｄ】菠菜羊乳酪鹹派（４入）【４４０ｇｘ１】,0,0
2023-05-07,WB2300067960,【海洋拉娜】經典乳霜【30mlx2（國際航空版）】,211926,58
2023-05-07,WB2200014358,【雅詩蘭黛】年輕無敵膠原霜(１５ＭＬＸ２入),12730,74
2023-05-10,WB2200008214,【築地一番鮮】智利厚切鮭魚(２５０ｇ±１０％（包冰率20％）／片),4567,249
2023-05-07,WB2300066527,【冷凍店取－楊嘉明】４吋抹茶岩山奶蓋蛋糕【１３０ｇ／盒】,0,0
2023-05-08,WB2200007241,【大成食品】經典原味雞胸肉【９０ｇ／包】,20945,497
2023-05-08,WB2200007239,【大成食品】檀島豬扒【９５ｇ／包】,0,0
2023-05-07,WB2300067294,【MAKE UP FOREVER】超進化無瑕微晶蜜粉餅(６．２ｇｘ１（國際航空版）),0,0
2023-05-07,WB2200016881,【冷凍店取－義美】牛奶冰淇淋餅乾（家庭號）(７５ｇ＊４入／盒),7380,139
2023-05-08,WB2200004135,【生活】生活泡沫奶茶【590ml*24入/箱】,0,0
2023-05-08,WB2300066524,【冷凍店取－食芋堂】６吋芋泥派【６５０ｇ／盒　】,0,0
2023-05-09,WB2200014208,【生活】運動飲料【４００ｍｌ＊２４】,4244,44
2023-05-07,WB2300068470,【輝葉】ＷＵＬＡ超有力小沙發(HY-3068A嬰兒藍贈HYD直立式蒸氣掛燙機D-76),0,0
2023-05-07,WB2200007518,【大成食品】經典蒜辣雞胸肉【９０ｇ／包】,4024,654
2023-05-07,WB2200005993,【憋氣檸檬】憋氣冰角－冬瓜檸檬【２８ｇ＊１０顆】,5013,50
2023-05-08,WB2300065930,【限量優惠－７７】新蜜樂芙綜合禮盒【５０３．４ｇ】,880,33
2023-05-08,WB2300000313,【永豐餘生技】蜂蜜仙楂丸－台南博仁堂【５公克＊８入／包】,1641,24
2023-05-07,WB2300067862,【百慕達】白色蒸氣烤麵包機【1個x1】,0,0
2023-05-07,WB2300000477,【ＢＵＲＢＥＲＲＹ】粉紅風格女性淡香水３０ｍｌ(國際航空版),0,0
2023-05-08,WB2200005486,【披薩市】黃金夏威夷口味（葷）(90g±4.5%),3659,182
2023-05-07,WB2200017357,【冠泓】萬巒豬腳(６００ｇ／包),666,36
2023-05-09,WB2300066571,【大人的生活】青春秘笈精緻禮盒組【１瓶ＮＭＮ＋２片超撫紋修護面膜】,9727,39
2023-05-07,WB2200019885,【Ｐｉｃａｒｄ】經典檸檬塔（２入）【１３０ｇ】,30220,735
2023-05-07,WB2300067664,【ＣＯＡＣＨ】經典馬車ＬＯＧＯ防刮皮革證件夾【深咖x1】,0,0
2023-05-08,WB2300067963,【雅詩蘭黛】微分子肌底原生露【200mlx2（公司貨）】,32580,14
2023-05-07,WB2300066516,【資生堂】全效抗痕緊顏白金霜【５０ｍｌ　ｘ　１　　（原廠公司貨）】,0,0
2023-05-08,WB2200005485,【披薩市】青醬蟹肉口味（葷）(80g±4.5%),4380,193
2023-05-07,WB2300000336,【冷凍店取－刁民】刁民秘罈酸菜魚(刁民秘罈酸菜魚９０１ｇ±１５ｇ、陳皮洛神茶１６ｇ±９％),199998,811
2023-05-09,WB2300067957,【ＳＩＳＬＥＹ】全能乳液【125mlx1（國際航空版）】,0,0
2023-05-08,WB2200005411,【得意生活】麻油猴頭菇寬粉【620g/包】,6706,232
2023-05-07,WB2300067951,【嬌蘭】皇家蜂王乳平衡油３Ｇ【50mlx1（國際航空版）】,10261,2
2023-05-09,WB2200013314,【雙月食品社】雙月愛恨椒芝麵【２１８公克】,0,0
2023-05-07,WB2200017676,【ＨＥＲＭＥＳ愛馬仕】香水護手組(〔尼羅河花園中性淡香水（１５ｍｌ）＋橘綠之泉香皂（５０ｇ）〕－國際航空版),0,0
2023-05-07,WB2300067298,【ＣＯＡＣＨ】芙洛麗女性淡香精３０ｍｌ【國際航空版】,0,0
2023-05-07,WB2300064963,【冷凍店取－歐酷】玉米冰淇淋－花生口味【８５ｇ＊１０入／袋】,3378,50
2023-05-07,WB2200019886,【Ｐｉｃａｒｄ】經典可麗露（９入）【２７０ｇ】,0,0
2023-05-08,WB2200005059,【蘭揚】貴妃鮑味片(600g/包固形物350g),6650,35
2023-05-07,WB2300066575,【冷藏店取-minimore】法式千層蛋糕(７００ｇ／盒),0,0
2023-05-07,WB2300067950,【ＳＫ—ＩＩ】青春露【330mlx1（公司貨）】,53797,24
2023-05-08,WB2300064431,【冷凍店取－義美】脆皮香草口味冰淇淋１０入／盒【２５ｇ＊１０入／盒】,8365,206
2023-05-07,WB2300067958,【契爾氏】金盞花植物精華化妝水【500mlx2（國際航空版）】,5264,9
2023-05-07,WB2200014418,【Ｐｉｃａｒｄ】迷你香草巧克力脆皮甜筒【１７５ｇ　ｘ１】,84163,3287
2023-05-07,WB2200016913,【韓國不倒翁】不倒翁韓式脆皮起司年糕熱狗　【５００ｇ／袋（１００ｇ＊５入／包）】,0,0
2023-05-10,WB2200011491,【冷凍店取－金園排骨】厚切排骨(２００ｇ±５％／包),6543,141
2023-05-07,WB2200019189,【神虎】紅虎拉麵【５２０／包】,27048,302
2023-05-07,WB2200012808,【黑松】黑松蘋果Ｃ蘋果果汁飲料【３００ｍｌ＊２４入／箱】,9019,133
2023-05-07,WB2300064682,【品好乳酪】北海道ＬＵＸＥ心軟軟小乳酪【４入／盒】,0,0
2023-05-07,WB2300064964,【冷凍店取－歐酷】玉米冰淇淋－巧克力口味【８５ｇ＊１０入／袋】,3351,55
2023-05-08,WB2200014964,【Ａｐｐｌｅ】蘋果Ｓ８ＧＰＳ４５ｍｍ手錶(（紅色鋁金屬錶殼／紅色運動型錶帶）),0,0
2023-05-07,WB2200007664,【嘉義劉里長】世界小吃嘉義劉里長雞肉飯組合包【３包／份】,12354,174
2023-05-07,WB2200014419,【Ｐｉｃａｒｄ】迷你巧克力可頌（１０入）【２５０ｇｘ１】,0,0
2023-05-08,WB2200013003,【光泉】１００％成份無調整保久牛乳【２００ｍｌｘ２４】,6398,42
2023-05-09,WB2300067302,【大瑪】燒烤豆皮香片（全素）【１３２ｇ（２２ｇ＊６入／袋）】,2193,66
2023-05-09,WB2300067860,【百慕達】黑色蒸氣烤麵包機【1個x1】,0,0
2023-05-07,WB2300066536,【ＥＫＳＥＬＥＮＣＥ】雙享系列－芒果香草雪酪冰淇淋【３００ｇ／桶】,0,0
2023-05-16,WB2200009208,【ＬＡＰＯＬＯ】３公升冰風暴水冷扇(ＬＡ－６５０３－白),3953,5
2023-05-08,WB2200005274,【海揚鮮物】滿滿系列—花枝蝦排【300g±10%(6片)/盒】,848,14
2023-05-09,WB2300067653,【冷凍店取—快樂大廚】紅燒牛腩【包】,1815,130
2023-05-09,WB2200019897,【Ｐｉｃａｒｄ】音樂盒型巧克力香草冰淇淋捲【５９０ｇ】,4110,23
2023-05-07,WB2200013315,【雙月食品社】雙月愛恨蔥蔥麵【２２０公克】,28627,884
2023-05-08,WB2200015776,【ＤＯＮＧＷＯＮ東遠】東遠韓式牛骨湯【５００ｇ／包】,6605,271
2023-05-07,WB2300067961,【契爾氏】激光極淨白淡斑精華【115mlx1（國際航空版）】,43284,46
2023-05-08,WB2200004675,【廚鮮王】美國肋眼牛排【150g±10%/包】,10383,88
2023-05-11,WB2200008214,【築地一番鮮】智利厚切鮭魚(２５０ｇ±１０％（包冰率20％）／片),13549,467
2023-05-08,WB2200008602,【大成食品】鹿野土雞(１３００公克／隻),47425,306
2023-05-08,WB2300063920,【牛家村牛師父】南棗核桃糕【２００ｇ】,6011,180
2023-05-08,WB2200014144,【桂冠】Ohiyo桂冠醬燒小肉包(３０ｇ＊１２入／包),4607,110
2023-05-07,WB2300067959,【倩碧】水磁場１００Ｈ活水循環保濕凝膠【200mlx2（國際航空版）】,12818,9
2023-05-07,WB2200016882,【冷凍店取－義美】巧克力冰淇淋餅乾（家庭號）(７５ｇ＊４入／盒),4983,354
2023-05-08,WB2200016883,【冷凍店取－義美】貓熊雪糕５支入／盒(６０ｇ＊５支／盒),2105,21
2023-05-08,WB2300067293,【雅詩蘭黛】超能紅石榴微循環潔膚乳(１２５ｍｌｘ２（國際航空版）),0,0
2023-05-10,WB2200014208,【生活】運動飲料【４００ｍｌ＊２４】,1820,41
2023-05-08,WB2200014962,【Ａｐｐｌｅ】蘋果Ｓ８ＧＰＳ４５ｍｍ手錶(（午夜色鋁金屬錶殼／午夜色運動型錶帶）),0,0
2023-05-07,WB2200019109,【全家Ｘ長榮空廚】鴻運當頭紹興醉蝦【４４１ｇ／盒（固形物：２２６ｇ）】,0,0
2023-05-07,WB2200007519,【大成食品】中一排骨(１３５ｇ／包),0,0
2023-05-09,WB2300061339,【【即期良品】石二鍋】石二鍋經典爆香石頭鍋(６４０ｇ／盒),10579,217
2023-05-09,WB2200002330,【ＡＯＣ】７０型４ＫＨＤＲ液晶顯示器【７０Ｕ６４１８】,0,0
2023-05-08,WB2200004330,【HELLO OCEAN】智利鮭魚鮮嫩腹肉肚條(300g±10%/包),4498,98
2023-05-08,WB2200004107,【泰山】環保水【600ml*24入/箱】,21721,218
2023-05-08,WB2300066577,【冷藏店取-minimore】醇生巧克力蛋糕(２９５ｇ／盒),0,0
2023-05-08,WB2200002943,【Ｐｉｃａｒｄ】檸檬起司蛋糕（單片）【８５ｇｘ１】,8141,156
2023-05-10,WB2300066571,【大人的生活】青春秘笈精緻禮盒組【１瓶ＮＭＮ＋２片超撫紋修護面膜】,3157,29
2023-05-07,WB2300067954,【雅詩蘭黛】特潤超導全方位修護露【100mlx2（國際航空版）】,239889,260
2023-05-08,WB2200002955,【Ｐｉｃａｒｄ】馬卡龍（１６入）【２０５ｇｘ１】,123150,1267
2023-05-08,WB2300068472,【輝葉】ＷＵＬＡ超有力小沙發(HY-3068A極致灰贈HYD直立式蒸氣掛燙機D-76),0,0
2023-05-07,WB2300067861,【百慕達】奶茶色蒸氣烤麵包機【1個x1】,0,0
2023-05-08,WB2200019078,【伊藤園】ＯｉＯｃｈａ濃香焙茶【６００ｍｌ／瓶】,10476,936
2023-05-07,WB2300060457,【ＬＡＮＣＯＭＥ蘭蔻】溫和保濕水４００ｍｌ(國際航空版),3086,7
2023-05-10,WB2300067957,【ＳＩＳＬＥＹ】全能乳液【125mlx1（國際航空版）】,0,0
2023-05-08,WB2200012807,【黑松】加鹽黑松沙士２４５ｍｌ＊２４入【２４５ｍｌ＊２４入／箱】,0,0
2023-05-07,WB2300067955,【ＩＰＳＡ】流金水【200mlx1（國際航空版）】,6934,26
2023-05-10,WB2200013314,【雙月食品社】雙月愛恨椒芝麵【２１８公克】,0,0
2023-05-08,WB2200005238,【海揚鮮物】龍蝦沙拉【250g±10%】,8250,92
2023-05-08,WB2200014359,【雅詩蘭黛】微分子肌底原生露(３０ＭＬＸ３入),0,0
2023-05-07,WB2300067952,【蘭蔻】超未來肌因賦活露【100mlx1（國際航空版）】,0,0
2023-05-07,WB2200020352,【船井生醫】ｂｕｒｎｅｒ夜孅胺基酸ＥＰ【２０顆＊２袋／盒】,4244,15
2023-05-09,WB2200004100,【生活】新優植養生黑木耳露（銀杏）(350ml*24入/箱),2778,15
2023-05-07,WB2300068551,【ＭＩＭＩＡＮ瞇瞇眼】８吋　厚．經典生乳波士頓派(460gx1),0,0
2023-05-08,WB2200019110,【全家Ｘ長榮空廚】竹笙蛤蜊雞湯【２０７５ｇ／盒（固形物：１０５０ｇ）】,0,0
2023-05-08,WB2300064962,【冷凍店取－歐酷】玉米冰淇淋－芋頭口味【８５ｇ＊１０入／袋】,0,0
2023-05-08,WB2200004125,【生活】新優植養生黑木耳露（黑糖）【350ml*24入/箱】,3934,15
2023-05-07,WB2300061006,【蒸新鮮】蒸花生【１００ｇ＊１】,5882,679
2023-05-07,WB2200019108,【全家Ｘ長榮空廚】花開富貴紅燒獅子頭【６１０ｇ／盒（固形物：４６５ｇ）】,0,0
2023-05-11,WB2200014199,【萬丹】保久乳【２００ｍｌ＊２４入／箱】,10934,49
2023-05-08,WB2200005469,【許記生煎包】許記生煎包(380g±5%&12顆&盒),1298,57
2023-05-08,WB2200005399,【快樂大廚】金門高梁紅燒牛肉爐(1000g/包),6966,66
2023-05-08,WB2200004809,【蔥阿伯】餃實在手工水餃（青蔥豬肉）(18gｘ約40顆/包),10870,155
2023-05-07,WB2300066526,【冷凍店取－楊嘉明】４吋可可火山奶蓋蛋糕【１３０ｇ／盒】,0,0
2023-05-08,WB2300065729,【限量優惠－海王】魷魚炊粉（箱）【１３７ｇ＊１２桶／箱】,0,0
2023-05-07,WB2200014405,【ＨＭＣ】箱購海洋深層氣泡飲水蜜桃風味【５００ｍｌ／２４入／箱】,25414,122
2023-05-08,WB2200003009,【Ｐｉｃａｒｄ】覆盆莓派【５００ｇｘ１】,0,0
2023-05-08,WB2200018358,【添好運】好運蝴蝶酥禮盒【４００ｇ／盒】,14455,134
2023-05-10,WB2300066576,【冷藏店取-minimore】法式檸檬蛋糕(２９５ｇ／盒),0,0
2023-05-10,WB2300067860,【百慕達】黑色蒸氣烤麵包機【1個x1】,20227,13
